metric,file,count,min,max,mean,median,sum
happiness_score,happiness_country_year.csv,782,2.69300007820129,7.769,5.379017902998669,5.322,4206.392000144959
co2_per_capita_t,co2_country_year.csv,18542,0.0,834.192642,4.511872929403516,1.391471,83659.147857
co2_total_mt,co2_country_year.csv,61272,0.0,37123.850352,56.68729936607259,0.0,3473344.2067579995
gdp_per_capita_usd,country_year_master.csv,460,237.444118481,104498.738671031,13937.277100343532,5224.94056702302,6411147.466158025
life_expectancy_years,country_year_master.csv,467,51.41,84.6804878048781,72.17966067791299,74.3219512195122,33707.90153658537
internet_users_pct,country_year_master.csv,464,1.76,98.26,51.17532689817888,54.139345535000004,23745.351680755
