country,year,happiness_score,gdp_factor,social_support_factor,health_factor,freedom_factor,generosity_factor,corruption_factor,iso3,co2_total_mt,co2_per_capita_t,gdp_current_usd,gdp_per_capita_usd,internet_users_pct,life_expectancy_years,population_total,trade_pct_gdp,unemployment_pct,urban_population_pct
France,2015,6.575,1.27778,1.26038,0.94579,0.55011,0.12332,0.20646,FRA,331.579994,5.196383,2438207896251.84,36613.3752159613,78.01,82.3219512195122,66593366.0,61.7516939345861,10.3590002059937,79.655
Argentina,2015,6.574,1.05351,1.24823,0.78723,0.44974,0.11451,0.08484,ARG,191.743835,4.432659,594749285413.212,13698.2934384857,68.04306411,76.415,43417765.0,22.4862260889792,7.64300012588501,91.503
Czech Republic,2015,6.505,1.17898,1.20643,0.84483,0.46364,0.10686,0.02652,CZE,104.995655,9.976974,186829940545.759,17715.6168523009,75.6688387,78.5780487804878,10546059.0,156.099863722896,5.0460000038147,73.477
Uruguay,2015,6.485,1.06166,1.2089,0.8116,0.60362,0.2324,0.24558,URY,6.742026,1.981307,53274304222.136,15524.8424684038,64.6,77.341,3431552.0,45.3282408076895,7.48799991607666,95.045
Colombia,2015,6.477,0.91861,1.24018,0.69077,0.53466,0.18401,0.0512,COL,95.47234,2.026165,293481748240.779,6085.20997863116,55.90497251,74.2,48228697.0,38.3607641184453,8.29899978637695,79.764
Thailand,2015,6.455,0.9669,1.26504,0.7385,0.55664,0.5763,0.03187,THA,289.419766,4.117252,401399422442.967,5846.39460806913,39.31612674,75.103,68657600.0,125.891926875428,0.597000002861023,47.694
Saudi Arabia,2015,6.411,1.39541,1.08393,0.72025,0.31048,0.13706,0.32524,SAU,678.849315,20.72832,654269902880.0,20732.8617215804,69.6162358,74.4,31557144.0,72.0749960025529,5.59000015258789,83.18
Spain,2015,6.329,1.23011,1.31379,0.95562,0.45951,0.18227,0.06398,ESP,272.16466,5.861658,1199084183705.08,25817.3866083761,78.6896,82.8317073170732,46444832.0,63.5372954174432,22.056999206543,79.602
Malta,2015,6.302,1.2074,1.30203,0.88721,0.60365,0.51752,0.13586,MLT,1.665291,3.647323,10554669617.5194,23715.5341442915,75.96,81.8975609756098,445053.0,272.398382205559,5.39099979400635,94.414
Taiwan,2015,6.298,1.29098,1.07617,0.8753,0.3974,0.25376,0.08129,TWN,275.836,11.731644,,,,,,,,
Kuwait,2015,6.295,1.55422,1.16594,0.72492,0.55499,0.16228,0.25609,KWT,92.447755,23.651531,114567298105.683,29109.0687433547,77.52326901,74.577,3935794.0,98.6998633725231,2.20000004768372,100.0
Suriname,2015,6.269,0.99534,0.972,0.6082,0.59657,0.16991,0.13633,SUR,2.409202,4.186459,4767414747.88691,8617.76176029073,42.76382778,71.279,553208.0,,7.21999979019165,66.056
Trinidad and Tobago,2015,6.168,1.21183,1.18354,0.61483,0.55884,0.31844,0.0114,TTO,45.559683,31.20148,24401734194.6814,17941.2379417579,69.19847061,70.556,1360092.0,,2.21099996566772,53.319
El Salvador,2015,6.13,0.76454,1.02507,0.67737,0.4035,0.10692,0.11776,SLV,6.667772,1.070085,23166030400.0,3669.87899205352,26.80260496,73.267,6312478.0,76.1186085640292,4.0,69.7
Guatemala,2015,6.123,0.74553,1.04356,0.64425,0.57733,0.27489,0.09472,GTM,15.951889,0.996924,63767597193.9175,3923.57334364713,28.80594156,73.15,16252429.0,51.3062636948269,2.50600004196167,49.971
